Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0301-KOBTQ,Male,50,No,0,Capitola,95010,36.977025,-121.952864,0,32,,Yes,14.91,No,No,,,,,,,,,,,Two Year,Yes,Bank Withdrawal,20.05,614.45,9.73,0,477.12,1081.84,Stayed,,
3865-YIOTT,Male,40,Yes,1,San Francisco,94110,37.750021,-122.415201,1,72,,Yes,11.67,Yes,Yes,Fiber Optic,26.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.1,7848.5,0.0,0,840.24,8688.74,Stayed,,
5377-NDTOU,Female,26,Yes,0,San Pedro,90732,33.744119,-118.31448,3,71,Offer A,Yes,9.5,Yes,Yes,Cable,76.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,91.05,6293.75,0.0,0,674.5,6968.25,Stayed,,
2637-FKFSY,Female,61,Yes,0,Wasco,93280,35.652242,-119.4464,2,3,,Yes,2.66,No,Yes,DSL,7.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,46.1,130.15,0.0,0,7.98,138.13,Joined,,
0224-NIJLP,Male,30,Yes,3,Turlock,95380,37.474396,-120.875917,1,8,Offer E,Yes,2.87,No,No,,,,,,,,,,,Two Year,No,Credit Card,20.15,165.5,0.0,0,22.96,188.46,Stayed,,
1866-RZZQS,Male,77,No,0,Redlands,92373,34.003243,-117.138286,0,41,Offer B,Yes,42.06,Yes,Yes,Fiber Optic,21.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.4,4187.75,0.0,0,1724.46,5912.21,Churned,Competitor,Competitor had better devices
5248-RPYWW,Female,78,Yes,1,Turlock,95382,37.529656,-120.854357,2,72,,Yes,9.88,Yes,Yes,Cable,16.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,90.15,6716.45,0.0,0,711.36,7427.81,Stayed,,
2436-QBZFP,Female,53,Yes,1,Yreka,96097,41.764869,-122.671316,4,22,,No,,,Yes,DSL,19.0,No,Yes,No,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,39.2,849.9,0.0,50,0.0,899.9,Stayed,,
1183-CANVH,Female,55,Yes,0,Escondido,92027,33.141265,-116.967221,5,23,Offer D,Yes,1.39,No,Yes,DSL,18.0,No,No,No,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,60.0,1347.15,0.0,0,31.97,1379.12,Stayed,,
3617-XLSGQ,Female,61,Yes,2,Modesto,95355,37.672906,-120.946594,2,66,,Yes,20.11,Yes,Yes,Fiber Optic,25.0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,No,Bank Withdrawal,109.25,7082.5,0.0,80,1327.26,8489.76,Stayed,,
4119-ZYPZY,Male,67,No,0,Glendale,91204,34.136306,-118.26036,0,71,,Yes,34.8,Yes,Yes,Fiber Optic,21.0,No,Yes,No,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,106.8,7623.2,0.0,0,2470.8,10094.0,Stayed,,
5840-NVDCG,Female,32,Yes,1,Pacoima,91331,34.255442,-118.421314,10,16,,Yes,20.12,No,Yes,Cable,30.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,68.25,1114.85,0.0,0,321.92,1436.77,Stayed,,
3729-OWRVL,Male,80,No,0,Pixley,93256,35.957019,-119.330928,0,65,,Yes,44.23,Yes,Yes,Fiber Optic,27.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110.35,7246.15,0.0,0,2874.95,10121.1,Stayed,,
5346-BZCHP,Female,19,Yes,2,Earp,92242,34.137742,-114.36514,0,69,Offer A,Yes,25.18,No,No,,,,,,,,,,,Two Year,No,Credit Card,19.4,1346.2,0.0,0,1737.42,3083.62,Stayed,,
6141-OOXUQ,Male,43,No,0,San Bernardino,92411,34.122501,-117.320138,0,1,Offer E,Yes,17.25,No,No,,,,,,,,,,,Month-to-Month,No,Mailed Check,19.65,19.65,0.0,0,17.25,36.9,Churned,Dissatisfaction,Service dissatisfaction
8746-OQQRW,Male,64,No,0,Hopland,95449,38.93706,-123.118111,0,4,Offer E,Yes,3.69,Yes,No,,,,,,,,,,,Month-to-Month,No,Credit Card,25.25,101.9,0.0,0,14.76,116.66,Stayed,,
7442-YGZFK,Male,31,No,0,Campo,91906,32.673483,-116.472863,0,1,,Yes,3.97,Yes,Yes,DSL,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,49.8,49.8,0.0,0,3.97,53.77,Joined,,
